tractid,NAME,state,year,pop,whiteshare,blackshare,poc,majpoc,per_highschool,per_bachelors,medinc,incabovemedian,area,popdens,urbanshare,p
42003020100,"Census Tract 201, Allegheny County, Pennsylvania",PA,2019,5490,0.7868852459016393,0.08597449908925318,0.21311475409836067,0,0.6380692167577413,0.48415300546448087,77759,1,0.649,5591.679506933744,1,800034044
42003030500,"Census Tract 305, Allegheny County, Pennsylvania",PA,2019,2109,0.13940256045519203,0.7719298245614035,0.8605974395448079,1,0.6036036036036037,0.13513513513513514,19243,0,0.258,8744.186046511628,1,799904044
42003040200,"Census Tract 402, Allegheny County, Pennsylvania",PA,2019,1576,0.5171319796954315,0.3426395939086294,0.48286802030456855,0,0.4276649746192893,0.1998730964467005,18500,0,0.237,10987.3417721519,1,799604044
42003040500,"Census Tract 405, Allegheny County, Pennsylvania",PA,2019,3255,0.8758832565284178,0.025499231950844855,0.12411674347158219,0,0.1425499231950845,0.03870967741935484,14702,0,0.183,20185.792349726777,1,799604043
42003040600,"Census Tract 406, Allegheny County, Pennsylvania",PA,2019,2212,0.8512658227848101,0.04837251356238698,0.1487341772151899,0,0.14873417721518986,0.0922242314647378,18295,0,0.098,24408.16326530612,1,799544043
42003060300,"Census Tract 603, Allegheny County, Pennsylvania",PA,2019,2226,0.8688230008984726,0.0862533692722372,0.13117699910152736,0,0.8194070080862533,0.5651392632524708,77147,1,0.432,5418.981481481482,1,799604046
42003140400,"Census Tract 1404, Allegheny County, Pennsylvania",PA,2019,2319,0.863734368262182,0.02457956015523933,0.13626563173781803,0,0.7313497197067702,0.6614920224234584,169375,1,0.322,7161.490683229814,1,799134045
42003141400,"Census Tract 1414, Allegheny County, Pennsylvania",PA,2019,5143,0.7946723702119386,0.07505347073692398,0.2053276297880614,0,0.7633676842309935,0.5586233715730119,70750,1,0.791,6764.8546144121365,1,799254042
42003160800,"Census Tract 1608, Allegheny County, Pennsylvania",PA,2019,2570,0.8046692607003891,0.16459143968871595,0.19533073929961087,0,0.654863813229572,0.28443579766536964,46844,1,0.406,6302.95566502463,1,799724042
42003401200,"Census Tract 4012, Allegheny County, Pennsylvania",PA,2019,2883,0.7835587929240374,0.0783905653832813,0.2164412070759626,0,0.614290669441554,0.11619840443981963,35323,1,1.011,3236.399604352127,1,797294061
42003401200,"Census Tract 4012, Allegheny County, Pennsylvania",PA,2019,2883,0.7835587929240374,0.0783905653832813,0.2164412070759626,0,0.614290669441554,0.11619840443981963,35323,1,1.011,3236.399604352127,1,797264061
42003401200,"Census Tract 4012, Allegheny County, Pennsylvania",PA,2019,2883,0.7835587929240374,0.0783905653832813,0.2164412070759626,0,0.614290669441554,0.11619840443981963,35323,1,1.011,3236.399604352127,1,797224061
42003401200,"Census Tract 4012, Allegheny County, Pennsylvania",PA,2019,2883,0.7835587929240374,0.0783905653832813,0.2164412070759626,0,0.614290669441554,0.11619840443981963,35323,1,1.011,3236.399604352127,1,797274061
42003401200,"Census Tract 4012, Allegheny County, Pennsylvania",PA,2019,2883,0.7835587929240374,0.0783905653832813,0.2164412070759626,0,0.614290669441554,0.11619840443981963,35323,1,1.011,3236.399604352127,1,797194061
42003402000,"Census Tract 4020, Allegheny County, Pennsylvania",PA,2019,3175,0.9565354330708662,0.03653543307086614,0.04346456692913381,0,0.6585826771653543,0.11748031496062993,41204,1,0.512,6367.1875,1,797464061
42003417100,"Census Tract 4171, Allegheny County, Pennsylvania",PA,2019,2041,0.9554140127388535,0,0.04458598726114649,0,0.7280744732974033,0.212640862322391,59194,1,0.425,5047.058823529412,1,797834054
42003431500,"Census Tract 4315, Allegheny County, Pennsylvania",PA,2019,3224,0.8905086848635235,0.0716501240694789,0.10949131513647647,0,0.798697270471464,0.3232009925558313,41250,1,0.387,7979.328165374677,1,800614049
42003432400,"Census Tract 4324, Allegheny County, Pennsylvania",PA,2019,2355,0.8819532908704883,0.0751592356687898,0.11804670912951165,0,0.7957537154989385,0.32016985138004245,50658,1,0.274,9430.65693430657,1,800714049
42003445500,"Census Tract 4455, Allegheny County, Pennsylvania",PA,2019,3829,0.8553147035779577,0.08749020632018804,0.1446852964220423,0,0.7017498041264038,0.4674849830242883,63475,1,1,3827,1,801904054
42003446000,"Census Tract 4460, Allegheny County, Pennsylvania",PA,2019,1586,0.978562421185372,0.0037831021437578815,0.021437578814628044,0,0.6727616645649432,0.55359394703656994,178929,1,1.496,1122.9946524064171,1,802034055
42003457200,"Census Tract 4572, Allegheny County, Pennsylvania",PA,2019,3484,0.9345579793340988,0.04190585533869116,0.06544202066590121,0,0.6980482204362801,0.2198622273249139,47875,1,0.732,5081.9672131147545,1,801014036
42003457200,"Census Tract 4572, Allegheny County, Pennsylvania",PA,2019,3484,0.9345579793340988,0.04190585533869116,0.06544202066590121,0,0.6980482204362801,0.2198622273249139,47875,1,0.732,5081.9672131147545,1,801024036
42003462100,"Census Tract 4621, Allegheny County, Pennsylvania",PA,2019,2842,0.7047853624208305,0.2325826882477129,0.29521463757916955,0,0.5932441942294159,0.07635467980295567,53075,1,1.564,1679.6675191815857,1,800964049
42003462600,"Census Tract 4626, Allegheny County, Pennsylvania",PA,2019,3355,0.6804769001490313,0.23189269746646796,0.3195230998509687,0,0.5940387481371088,0.06825633383010432,38013,1,0.418,8935.406698564593,1,800774047
42003465600,"Census Tract 4656, Allegheny County, Pennsylvania",PA,2019,2670,0.8790262172284644,0.09887640449438202,0.12097378277153559,0,0.6531835205992509,0.2400749063670412,38654,1,0.388,6115.979381443299,1,800684043
